Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
PMM1167	PMM1167	Macrophage migration inhibitory factor family	TX50_RS06305		
PMM1131	PMM1131	hypothetical protein	TX50_RS06070		
gatA	PMM0946	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	TX50_RS05040	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent)	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis
PMM1050	PMM1050	hypothetical protein	TX50_RS05645		
PMM1019	PMM1019	Possible Integrin alpha cytoplasmic region	TX50_RS05460		
PMM102a	PMM102a	cytochrome b6	TX50_RS00545	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
PMM0992	PMM0992	Conserved hypotheticcal protein	TX50_RS05295		
PMM0876	PMM0876	hypothetical protein	TX50_RS04685		
cysE	PMM1638	serine O-acetyltransferase	TX50_RS08755	L-cysteine biosynthesis I	Amino Acid Biosynthesis
PMM0811	PMM0811	Possible (AF143461) BdrC3 [Borrelia hermsii]	TX50_RS04335		
PMM1885	PMM1885	hypothetical protein	TX50_RS03940		
gltX	PMM0473	glutamate--tRNA ligase	TX50_RS02540	tRNA charging // tetrapyrrole biosynthesis I (from glutamate)	Aminoacyl-tRNA Charging // Metabolic Clusters // Tetrapyrrole Biosynthesis
PMM0702	PMM0702	Possible DUP family	TX50_RS03750		
PMM1859	PMM1859	hypothetical protein	TX50_RS03510		
secF	PMM0928	protein translocase subunit SecF	TX50_RS04950		
PMM0586	PMM0586	hypothetical protein	TX50_RS03125		
PMM0474	PMM0474	hypothetical protein	TX50_RS02550		
ndbB	PMM0082	demethylphylloquinone reductase	TX50_RS00435	phylloquinol biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1840	PMM1840	hypothetical protein	TX50_RS02040		
PMM0344	PMM0344	Possible Influenza non-structural protein (NS2)	TX50_RS01825		
mreC	PMM1621	rod shape-determining protein MreC	TX50_RS08670		
PMM0219	PMM0219	hypothetical protein	TX50_RS01130		
PMM0104	PMM0104	N-acetyltransferase	TX50_RS00555		
PMM0455	PMM0455	LD-carboxypeptidase	TX50_RS02450	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	Cell Structure Biosynthesis
PMM0013	PMM0013	RNA-binding protein	TX50_RS00080		
PMM1863	PMM1863	hypothetical protein	TX50_RS09425		
PMM0911	PMM0911	nucleoside triphosphate pyrophosphohydrolase family protein	TX50_RS04865		
PMM1715	PMM1715	alpha/beta hydrolase	TX50_RS09155		
PMM1588	PMM1588	Possible Conserved carboxylase domain	TX50_RS08500		
hli2	PMM0064	high light inducible protein Hli2	TX50_RS00340		
PMM1422	PMM1422	hypothetical protein	TX50_RS07665		
PMM1402	PMM1402	hypothetical protein	TX50_RS07540		
PMM1600	PMM1600	sodium:proton antiport	TX50_RS08560		
PMM1351	PMM1351	hypothetical protein	TX50_RS07245		
PMM1242	PMM1242	hypothetical protein	TX50_RS06685		
ndhB	PMM0435	ferredoxin-quinone oxidoreductase subunit B	TX50_RS02345	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
TX50_RS06270		hypothetical protein			
PMM1127	PMM1127	Possible NAD(P) transhydrogenase beta subunit	TX50_RS06050	NAD phosphorylation and transhydrogenation	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0895	PMM0895	DUF3110 domain-containing protein	TX50_RS04780		
PMM1043	PMM1043	Possible Borrelia lipoprotein	TX50_RS05605		
PMM1013	PMM1013	hypothetical protein	TX50_RS05425		
alaS	PMM0044	alanine--tRNA ligase	TX50_RS00235	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1926	PMM1926	hypothetical protein	TX50_RS05250		
TX50_RS04605		hypothetical protein			
psaD	PMM1578	Photosystem I reaction center subunit II PsaD	TX50_RS08450	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
PMM1891	PMM1891	hypothetical protein	TX50_RS04320		
PMM0734	PMM0734	Possible Helix-turn-helix protein, copG family	TX50_RS03920		
mqoA	PMM0419	Malate:quinone oxidoreductase	TX50_RS02255	partial TCA cycle (obligate autotrophs)	Generation of Precursor Metabolites and Energy
PMM0699	PMM0699	hypothetical protein	TX50_RS03730		
TX50_RS03475		hypothetical protein			
cobN	PMM0879	cobaltochelatase	TX50_RS04700	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0546	PMM0546	hypothetical protein	TX50_RS02920		
PMM1850	PMM1850	hypothetical protein	TX50_RS02435		
thiL	PMM0024	thiamine-monophosphate kinase	TX50_RS00135	superpathway of thiamine diphosphate biosynthesis II // superpathway of thiamine diphosphate biosynthesis I // thiamine diphosphate biosynthesis II (Bacillus) // thiamine diphosphate biosynthesis I (E. coli)	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM1837	PMM1837	hypothetical protein	TX50_RS02015		
PMM0340	PMM0340	hypothetical protein	TX50_RS01800		
rplC	PMM1558	50S ribosomal protein L3	TX50_RS08340		
PMM0196	PMM0196	hypothetical protein	TX50_RS01015		
PMM0088	PMM0088	hypothetical protein	TX50_RS00465		
lipB	PMM0401	lipoyl(octanoyl) transferase LipB	TX50_RS02155	lipoate biosynthesis and incorporation I	Cofactor, Carrier, and Vitamin Biosynthesis
PMM2006	PMM2006	hypothetical protein	TX50_RS09495		
PMM2034	PMM2034	hypothetical protein	TX50_RS09410		
PMM0859	PMM0859	DUF1651 domain-containing protein	TX50_RS04590		
PMM1678	PMM1678	hypothetical protein	TX50_RS08965		
PMM1568	PMM1568	CAAD domain-containing protein	TX50_RS08395		
queG	PMM0007	tRNA epoxyqueuosine(34) reductase QueG	TX50_RS00050	queuosine biosynthesis I (<i>de novo</i>)	Nucleic Acid Processing
PMM1419	PMM1419	Possible ATP synthase B/B' CF(0)	TX50_RS07645		
PMM1395	PMM1395	hypothetical protein	TX50_RS07500		
rpsE	PMM1542	30S ribosomal protein S5	TX50_RS08260		
glcH	PMM1323	Na+/D-glucose symporter	TX50_RS07105		
PMM1228	PMM1228	hypothetical protein	TX50_RS06615		
purF	PMM0004	amidophosphoribosyltransferase	TX50_RS00035	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM1149	PMM1149	hypothetical protein	TX50_RS06190		
PMM1112	PMM1112	hypothetical protein	TX50_RS05960		
adk	PMM1539	adenylate kinase	TX50_RS08245	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM1035	PMM1035	Possible DNA gyrase/topoisomerase IV, subunit	TX50_RS05565		
PMM1011	PMM1011	hypothetical protein	TX50_RS05405		
ubiH	PMM0834	2-nonaprenylphenol 4-monooxygenase	TX50_RS04465	plastoquinol-9 biosynthesis II	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1924	PMM1924	hypothetical protein	TX50_RS05235		
PMM0849	PMM0849	GDT1 family protein	TX50_RS04540		
PMM1522	PMM1522	glycosyltransferase family 2 protein	TX50_RS08160		
PMM0800	PMM0800	hypothetical protein	TX50_RS04265		
PMM0726	PMM0726	hypothetical protein	TX50_RS03880		
hli19	PMM0815	high light inducible protein Hli19	TX50_RS04365		
PMM0696	PMM0696	hypothetical protein	TX50_RS03715		
PMM0650	PMM0650	Possible LEM domain	TX50_RS03445		
PMM1289	PMM1289	type II alternative RNA polymerase sigma factor, sigma-70 family	TX50_RS06915		
PMM0527	PMM0527	hypothetical protein	TX50_RS02825		
PMM0440	PMM0440	hypothetical protein	TX50_RS02370		
PMM1503	PMM1503	DUF1997 domain-containing protein	TX50_RS08065		
PMM0375	PMM0375	Possible Type II intron maturase	TX50_RS01995		
PMM0337	PMM0337	hypothetical protein	TX50_RS01775		
PMM0789	PMM0789	YqeG family HAD IIIA-type phosphatase	TX50_RS04210		
PMM0142	PMM0142	RNA-binding protein	TX50_RS00745		
PMM0074	PMM0074	hypothetical protein	TX50_RS00390		
cobL	PMM1268	bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase	TX50_RS06815	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1964	PMM1964	hypothetical protein	TX50_RS09480		
PMM1804	PMM1804	hypothetical protein	TX50_RS09395		
rpsT	PMM1487	30S ribosomal protein S20	TX50_RS07985		
PMM2021	PMM2021	hypothetical protein	TX50_RS09380		
PMM1670	PMM1670	hypothetical protein	TX50_RS08920		
PMM0383	PMM0383	SIMPL domain-containing protein	TX50_RS02045		
PMM1521	PMM1521	Possible Annexin	TX50_RS08155		
PMM1413	PMM1413	hypothetical protein	TX50_RS07615		
gnd	PMM0770	6-phosphogluconate dehydrogenase	TX50_RS04115	pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I	Superpathways // Generation of Precursor Metabolites and Energy
PMM1391	PMM1391	Possible Helix-turn-helix protein, copG family	TX50_RS07480		
PMM1318	PMM1318	hypothetical protein	TX50_RS07075		
PMM1246	PMM1246	carbamoyltransferase	TX50_RS06700		
PMM1195	PMM1195	hypothetical protein	TX50_RS06445		
PMM1136	PMM1136	Possible Uncharacterized protein family UPF005	TX50_RS06120		
cioD	PMM1471	dethiobiotin synthetase	TX50_RS07905	biotin biosynthesis from 8-amino-7-oxononanoate III // biotin biosynthesis from 8-amino-7-oxononanoate I	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1095	PMM1095	hypothetical protein	TX50_RS05875		
PMM1946	PMM1946	hypothetical protein	TX50_RS05510		
thiD	PMM0358	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	TX50_RS01905	superpathway of thiamine diphosphate biosynthesis I // superpathway of thiamine diphosphate biosynthesis II // 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I // hydroxymethylpyrimidine salvage	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM1934	PMM1934	hypothetical protein	TX50_RS05365		
PMM0979	PMM0979	hypothetical protein	TX50_RS05210		
tsf	PMM0754	translation elongation factor Ts	TX50_RS04035		
PMM0826	PMM0826	hypothetical protein	TX50_RS04425		
PMM0783	PMM0783	hypothetical protein	TX50_RS04180		
PMM1221	PMM1221	glycosyltransferase	TX50_RS06580		
PMM0720	PMM0720	Possible Poly A polymerase regulatory subunit	TX50_RS03850		
PMM1871	PMM1871	hypothetical protein	TX50_RS03690		
atpF	PMM1453	ATP synthase chain b	TX50_RS07815	ATP biosynthesis	Generation of Precursor Metabolites and Energy
PMM0636	PMM0636	hydrolase	TX50_RS03375		
PMM0509	PMM0509	Possible Helix-turn-helix domain of resolvase	TX50_RS02735		
PMM0334	PMM0334	DUF3104 domain-containing protein	TX50_RS01760		
PMM0417	PMM0417	hypothetical protein	TX50_RS02245		
PMM1828	PMM1828	hypothetical protein	TX50_RS01930		
PMM0729	PMM0729	ATP-dependent DNA ligase	TX50_RS03895		
orf59	PMM0307	hypothetical protein	TX50_RS01590		
PMM0126	PMM0126	Possible Herpesvirus UL6 like	TX50_RS00665		
rfbF	PMM1204	glucose-1-phosphate cytidylyltransferase	TX50_RS06495		
PMM0059	PMM0059	hypothetical protein	TX50_RS00310		
PMM1930	PMM1930	hypothetical protein	TX50_RS09465		
secG	PMM1435	preprotein translocase subunit SecG	TX50_RS07730		
PMM1427	PMM1427	hypothetical protein	TX50_RS09330		
PMM1620	PMM1620	hypothetical protein	TX50_RS08665		
prmC	PMM0318	peptide chain release factor N(5)-glutamine methyltransferase	TX50_RS01650		
PMM1469	PMM1469	hypothetical protein	TX50_RS07895		
PMM2009	PMM2009	hypothetical protein	TX50_RS07590		
phoB	PMM0705	two-component response regulator transcription factor, phosphate sensing	TX50_RS03765		
PMM1375	PMM1375	Possible M protein repeat	TX50_RS07390		
PMM1283	PMM1283	membrane protein	TX50_RS06885		
yidC	PMM1186	membrane protein insertase YidC	TX50_RS06400		
PMM1174	PMM1174	hypothetical protein	TX50_RS06340		
PMM1132	PMM1132	hypothetical protein	TX50_RS06090		
hli6	PMM1399	high light inducible protein Hli6	TX50_RS07525		
PMM1079	PMM1079	Possible Villin headpiece domain	TX50_RS05795		
PMM1944	PMM1944	hypothetical protein	TX50_RS05490		
psbJ	PMM0300	Photosystem II protein J PsbJ	TX50_RS01550	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM1001	PMM1001	hypothetical protein	TX50_RS05340		
mrnC	PMM0949	Mini-ribonuclease 3	TX50_RS05055		
PMM0677	PMM0677	PDZ domain-containing protein	TX50_RS03600		
PMM1894	PMM1894	hypothetical protein	TX50_RS04355		
PMM0739	PMM0739	hypothetical protein	TX50_RS03965		
PMM1164	PMM1164	extracellular solute-binding protein	TX50_RS06290		
PMM0715	PMM0715	Possible chorismate binding enzyme	TX50_RS03820		
PMM1867	PMM1867	hypothetical protein	TX50_RS03660		
PMM1379	PMM1379	LOG family protein	TX50_RS07415		
PMM0624	PMM0624	Possible Hantavirus glycoprotein G2	TX50_RS03315		
PMM0486	PMM0486	hypothetical protein	TX50_RS02620		
trxA	PMM0283	thioredoxin	TX50_RS01470	thioredoxin pathway // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // assimilatory sulfate reduction IV	Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Inorganic Nutrient Metabolism
PMM0403	PMM0403	hypothetical protein	TX50_RS02165		
PMM1824	PMM1824	hypothetical protein	TX50_RS01890		
PMM0660	PMM0660	RNA recognition motif-containing protein	TX50_RS03515		
PMM0259	PMM0259	hypothetical protein	TX50_RS01345		
PMM0118	PMM0118	hypothetical protein	TX50_RS00620		
pntB	PMM1145	NAD/NADP transhydrogenase beta subunit	TX50_RS06170	NAD phosphorylation and transhydrogenation	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0039	PMM0039	hypothetical protein	TX50_RS00210		
PMM1905	PMM1905	hypothetical protein	TX50_RS09450		
PMM1357	PMM1357	DUF1295 domain-containing protein	TX50_RS07280		
PMM1884	PMM1884	hypothetical protein	TX50_RS09285		
PMM1613	PMM1613	Probable N-acyl-L-amino acid amidohydrolase	TX50_RS08630		
purH	PMM0266	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH	TX50_RS01380	inosine-5'-phosphate biosynthesis I	Nucleoside and Nucleotide Biosynthesis
PMM1426	PMM1426	hypothetical protein	TX50_RS07690		
PMM1407	PMM1407	Possible SRP19 protein	TX50_RS07570		
PMM0638	PMM0638	radical SAM/Cys-rich domain protein	TX50_RS03385		
PMM1978	PMM1978	hypothetical protein	TX50_RS07355		
PMM1255	PMM1255	hypothetical protein	TX50_RS06745		
PMM1120	PMM1120	sulfotransferase family protein	TX50_RS06005		
PMM1169	PMM1169	hypothetical protein	TX50_RS06315		
PMM1957	PMM1957	hypothetical protein	TX50_RS06075		
PMM1338	PMM1338	BamA/TamA family outer membrane protein	TX50_RS07180		
PMM1067	PMM1067	Possible Adenoviral fiber protein (repeat/shaf)	TX50_RS05730		
PMM1941	PMM1941	hypothetical protein	TX50_RS05465		
PMM0249	PMM0249	DUF3146 family protein	TX50_RS01290		
PMM0997	PMM0997	hypothetical protein	TX50_RS05320		
PMM0922	PMM0922	hypothetical protein	TX50_RS04920		
murI	PMM0617	glutamate racemase	TX50_RS03280	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM0812	PMM0812	hypothetical protein	TX50_RS04340		
PMM0736	PMM0736	Possible Alpha-2-macroglobulin family N-termin	TX50_RS03945		
PMM1099	PMM1099	ABC-type multidrug transporter	TX50_RS05895		
phoR	PMM0706	two-component sensor histidine kinase, phosphate sensing	TX50_RS03770		
PMM0664	PMM0664	hypothetical protein	TX50_RS03535		
hli13	PMM1317	high light inducible protein Hli13	TX50_RS07065		
PMM0589	PMM0589	hypothetical protein	TX50_RS03140		
PMM0480	PMM0480	hypothetical protein	TX50_RS02585		
PMM0230	PMM0230	DUF2555 domain-containing protein	TX50_RS01185		
PMM1841	PMM1841	Type III restriction system endonuclease	TX50_RS02055		
PMM0347	PMM0347	hypothetical protein	TX50_RS01840		
PMM0601	PMM0601	periplasmic metal-binding protein	TX50_RS03200		
PMM0231	PMM0231	hypothetical protein	TX50_RS01190		
PMM0109	PMM0109	Possible POLO box duplicated region	TX50_RS00580		
prsA	PMM1080	ribose-phosphate pyrophosphokinase	TX50_RS05800	PRPP biosynthesis	Carbohydrate Biosynthesis
PMM0032	PMM0032	Possible Bacterial type II secretion system pr	TX50_RS00175		
PMM0211	PMM0211	FAD-dependent oxidoreductase	TX50_RS01090		
PMM1874	PMM1874	hypothetical protein	TX50_RS09430		
TX50_RS01880		hypothetical protein			
PMM1252	PMM1252	acetyltransferase	TX50_RS09210		
PMM0582	PMM0582	NAD(P)-dependent oxidoreductase	TX50_RS03105		
PMM1595	PMM1595	hypothetical protein	TX50_RS08535		
PMM2002	PMM2002	DUF3764 domain-containing protein	TX50_RS09325		
PMM1423	PMM1423	hypothetical protein	TX50_RS07670		
hisH	PMM1060	imidazole glycerol phosphate synthase subunit HisH	TX50_RS05695	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // L-histidine biosynthesis	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis
PMM2008	PMM2008	hypothetical protein	TX50_RS07545		
TX50_RS07310		hypothetical protein			
PMM1355	PMM1355	hypothetical protein	TX50_RS07265		
PMM0193	PMM0193	RluA family pseudouridine synthase	TX50_RS01000		
PMM1247	PMM1247	hypothetical protein	TX50_RS06705		
abrB2	PMM0573	AbrB-type transcriptional regulator	TX50_RS03060		
PMM1968	PMM1968	hypothetical protein	TX50_RS06275		
psbL	PMM0299	photosystem II reaction center protein L	TX50_RS09245	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM1129	PMM1129	Possible Notch (DSL) domain	TX50_RS06060		
TX50_RS09355		hypothetical protein			
PMM1046	PMM1046	MFS transporter	TX50_RS05625		
PMM0564	PMM0564	DUF2064 domain-containing protein	TX50_RS03010		
PMM1017	PMM1017	hypothetical protein	TX50_RS05445		
PMM1982	PMM1982	hypothetical protein	TX50_RS07370		
PMM0988	PMM0988	DNA-binding protein	TX50_RS05270		
PMM1039	PMM1039	alpha-E domain-containing protein	TX50_RS05585		
PMM0864	PMM0864	Possible Fusion glycoprotein F0	TX50_RS04625		
TX50_RS03640		Clp protease ClpS			
PMM0810	PMM0810	hypothetical protein	TX50_RS04325		
menF	PMM0177	isochorismate synthase	TX50_RS00920	2-carboxy-1,4-naphthoquinol biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0735	PMM0735	hypothetical protein	TX50_RS03925		
PMM1879	PMM1879	hypothetical protein	TX50_RS09280		
PMM0700	PMM0700	hypothetical protein	TX50_RS03735		
aroE	PMM1705	shikimate dehydrogenase	TX50_RS09100	superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis
PMM1854	PMM1854	hypothetical protein	TX50_RS03480		
PMM1105	PMM1105	exodeoxyribonuclease V subunit chi	TX50_RS05925		
PMM0556	PMM0556	4a-hydroxytetrahydrobiopterin dehydratase	TX50_RS02970		
PMM0465	PMM0465	hypothetical protein	TX50_RS02500		
CsoS1D	PMM0547	trimeric carboxysome shell component CsoS1D	TX50_RS02925		
PMM1839	PMM1839	hypothetical protein	TX50_RS02030		
PMM0342	PMM0342	Possible Helper component proteinase	TX50_RS01810		
PMM1010	PMM1010	DUF2470 domain-containing protein	TX50_RS05400		
PMM0210	PMM0210	Possible (AF128446) repeat motif protein	TX50_RS01085		
PMM0092	PMM0092	hypothetical protein	TX50_RS00490		
ndhA	PMM0160	ferredoxin-quinone oxidoreductase subunit A	TX50_RS00835	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
TX50_RS09500		hypothetical protein			
PMM1835	PMM1835	hypothetical protein	TX50_RS09415		
aspS	PMM1688	aspartate--tRNA ligase	TX50_RS09015	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1695	PMM1695	MFS transporter	TX50_RS09050		
PMM1574	PMM1574	hypothetical protein	TX50_RS08430		
pgeF		peptidoglycan editing factor PgeF			
PMM2014	PMM2014	hypothetical protein	TX50_RS07650		
PMM0978	PMM0978	ABC-type multidrug transporter, permease component	TX50_RS05205		
PMM2004	PMM2004	hypothetical protein	TX50_RS07505		
dnaN	PMM0001	DNA polymerase III beta subunit	TX50_RS00020		
PMM1331	PMM1331	hypothetical protein	TX50_RS07145		
PMM0143	PMM0143	phytoene synthase	TX50_RS00750	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	Secondary Metabolite Biosynthesis
TX50_RS06660		hypothetical protein			
rpsK	PMM1536	30S ribosomal protein S11	TX50_RS08235		
PMM1966	PMM1966	hypothetical protein	TX50_RS06205		
gcvP	PMM1668	Glycine cleavage system protein P	TX50_RS08910	folate transformations III (<i>E. coli</i>) // glycine cleavage	Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Degradation
PMM1114	PMM1114	hypothetical protein	TX50_RS05970		
chlH	PMM0831	Protoporphyrin IX Mg-chelatase subunit	TX50_RS04450	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	Tetrapyrrole Biosynthesis
PMM1037	PMM1037	hypothetical protein	TX50_RS05575		
proS	PMM0508	proline--tRNA ligase	TX50_RS02730	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1936	PMM1936	hypothetical protein	TX50_RS05410		
psaL	PMM1519	Photosystem I reaction centre subunit XI PsaL	TX50_RS08145	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
PMM1925	PMM1925	hypothetical protein	TX50_RS05240		
gpgS	PMM0962	glucosyl-3-phosphoglycerate synthase	TX50_RS05120	mannosylglucosylglycerate biosynthesis I // glucosylglycerate biosynthesis I	Metabolic Regulator Biosynthesis
PMM0857	PMM0857	Possible Influenza RNA-dependent RNA polymeras	TX50_RS04580		
PMM0807	PMM0807	ABC-type transporter, ATP-binding protein component	TX50_RS04305		
PMM0805	PMM0805	hypothetical protein	TX50_RS04290		
PMM0122	PMM0122	DnaJ domain-containing protein	TX50_RS00640		
PMM0731	PMM0731	Possible COMC family	TX50_RS03905		
PMM1287	PMM1287	DUF4101 domain-containing protein	TX50_RS06905		
PMM0697	PMM0697	Possible D12 class N6 adenine-specific DNA met	TX50_RS03720		
tilS	PMM1651	tRNA lysidine(34) synthetase TilS	TX50_RS08825		
PMM0654	PMM0654	hypothetical protein	TX50_RS03465		
PMM1501	PMM1501	Rne/Rng family ribonuclease	TX50_RS08055		
PMM0538	PMM0538	Peptidase_M50 domain-containing protein	TX50_RS02880		
PMM0491	PMM0491	4a-hydroxytetrahydrobiopterin dehydratase	TX50_RS02645		
abrB1	PMM0443	AbrB-type transcriptional regulator	TX50_RS02385		
lpxD	PMM0787	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	TX50_RS04200	lipid IV<sub>A</sub> biosynthesis (generic)	Fatty Acid and Lipid Biosynthesis // Cell Structure Biosynthesis
PMM0376	PMM0376	hypothetical protein	TX50_RS02000		
rpsO	PMM0943	30S ribosomal protein S15	TX50_RS05025		
PMM1813	PMM1813	hypothetical protein	TX50_RS01780		
ribD	PMM1265	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	TX50_RS06800	flavin biosynthesis I (bacteria and plants)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0148	PMM0148	membrane protein	TX50_RS00775		
nadB	PMM0100	Aspartate oxidase	TX50_RS00530	NAD <i>de novo</i> biosynthesis I (from aspartate)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0086	PMM0086	RHH_5 domain-containing protein	TX50_RS00455		
rpoB	PMM1485	DNA-directed RNA polymerase subunit beta	TX50_RS07975		
PMM1970	PMM1970	hypothetical protein	TX50_RS09485		
miaA	PMM1635	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	TX50_RS08740		
PMM0359	PMM0359	hypothetical protein	TX50_RS09400		
PMM0379	PMM0379	DUF3303 domain-containing protein	TX50_RS02020		
PMM1671	PMM1671	hypothetical protein	TX50_RS08925		
psaF	PMM0469	Photosystem I reaction centre subunit III precursor (PSI-F)	TX50_RS02520	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
PMM1560	PMM1560	hypothetical protein	TX50_RS08350		
hemA	PMM0768	glutamyl-tRNA reductase	TX50_RS04105	tetrapyrrole biosynthesis I (from glutamate)	Tetrapyrrole Biosynthesis
PMM1416	PMM1416	hypothetical protein	TX50_RS07630		
mnmH	PMM0925	tRNA 2-selenouridine(34) synthase MnmH	TX50_RS04935	tRNA-uridine 2-thiolation and selenation (bacteria)	Nucleic Acid Processing
PMM1392	PMM1392	Possible Heat-labile enterotoxin alpha chain	TX50_RS07485		
PMM1241	PMM1241	class I SAM-dependent methyltransferase	TX50_RS06680		
PMM1319	PMM1319	Possible Beta-lactamase	TX50_RS07080		
PMM0079	PMM0079	thioredoxin-dependent thiol peroxidase	TX50_RS00420		
PMM1212	PMM1212	hypothetical protein	TX50_RS06535		
bioF	PMM1468	8-amino-7-oxononanoate synthase	TX50_RS07890		
PMM1963	PMM1963	hypothetical protein	TX50_RS06125		
ruvB	PMM1615	Holliday junction branch migration DNA helicase RuvB	TX50_RS08640		
PMM1100	PMM1100	hypothetical protein	TX50_RS05900		
pip	PMM0356	prolyl aminopeptidase	TX50_RS01895		
PMM1027	PMM1027	Possible Inward rectifier potassium channel	TX50_RS05525		
groL	PMM0452	chaperonin GroEL	TX50_RS02430		
PMM1007	PMM1007	hypothetical protein	TX50_RS05385		
PMM0752	PMM0752	glycosyltransferase family 2 protein	TX50_RS04025		
PMM0980	PMM0980	hypothetical protein	TX50_RS05215		
ilvA	PMM0908	threonine ammonia-lyase, biosynthetic	TX50_RS04850	superpathway of L-isoleucine biosynthesis I // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)	Superpathways // Amino Acid Biosynthesis
