Entry	Entry name	Status	Protein names	Gene names	Cross-reference (KEGG)	Organism	Length	Pathway	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Annotation	Caution	Features	Gene ontology IDs	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Signal peptide	Transit peptide	Cross-reference (Bgee)	Cross-reference (CollecTF)	Cross-reference (BioCyc)	Cross-reference (RefSeq)
Q7V352	SYI_PROMP	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS PMM0238	pmm:PMM0238;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	965		PMM0238	ileS		3 out of 5		Binding site (2); Chain (1); Metal binding (4); Motif (2)	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005737; GO:0006428; GO:0008270	isoleucyl-tRNA aminoacylation [GO:0006428]	cytoplasm [GO:0005737]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]						WP_011131876.1;
Q7UZR6	PANCY_PROMP	reviewed	Bifunctional pantoate ligase/cytidylate kinase [Includes: Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme); Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)]	panC/cmk PMM1590	pmm:PMM1590;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	510	PATHWAY: Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantothenate from (R)-pantoate and beta-alanine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01349}.	PMM1590	panC/cmk		4 out of 5		Active site (1); Binding site (3); Chain (1); Nucleotide binding (3); Region (2)	GO:0004592; GO:0005524; GO:0005737; GO:0006220; GO:0015940; GO:0036430; GO:0036431	pantothenate biosynthetic process [GO:0015940]; pyrimidine nucleotide metabolic process [GO:0006220]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; CMP kinase activity [GO:0036430]; dCMP kinase activity [GO:0036431]; pantoate-beta-alanine ligase activity [GO:0004592]						WP_011133218.1;
Q7V132	RUVC_PROMP	reviewed	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC PMM1054	pmm:PMM1054;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	157		PMM1054	ruvC		3 out of 5		Chain (1); Metal binding (4)	GO:0000287; GO:0003676; GO:0006281; GO:0006310; GO:0008821	DNA recombination [GO:0006310]; DNA repair [GO:0006281]		crossover junction endodeoxyribonuclease activity [GO:0008821]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]						WP_011132687.1;
Q7V008	RPOC2_PROMP	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC2 PMM1483	pmm:PMM1483;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	1366		PMM1483	rpoC2		3 out of 5		Chain (1); Compositional bias (2); Metal binding (4); Region (2)	GO:0003677; GO:0003899; GO:0006351; GO:0008270	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]						WP_011133111.1;
Q7V1V0	RS2_PROMP	reviewed	30S ribosomal protein S2	rpsB rps2 PMM0753	pmm:PMM0753;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	234		PMM0753	rpsB	rps2	2 out of 5		Chain (1)	GO:0003735; GO:0006412; GO:0015935	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	structural constituent of ribosome [GO:0003735]						WP_011132387.1;
Q7UZP2	SSRP_PROMP	reviewed	SsrA-binding protein (Small protein B)	smpB PMM1616	pmm:PMM1616;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	175		PMM1616	smpB		2 out of 5		Chain (1)	GO:0003723; GO:0005737; GO:0070929	trans-translation [GO:0070929]	cytoplasm [GO:0005737]	RNA binding [GO:0003723]						
Q7V0C2	RL21_PROMP	reviewed	50S ribosomal protein L21	rplU rpl21 PMM1344	pmm:PMM1344;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	146		PMM1344	rplU	rpl21	2 out of 5		Chain (1); Compositional bias (1); Region (1)	GO:0003735; GO:0005840; GO:0006412; GO:0019843	translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						WP_011132978.1;
Q7V007	RPOC1_PROMP	reviewed	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	rpoC1 PMM1484	pmm:PMM1484;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	634		PMM1484	rpoC1		3 out of 5		Chain (1); Metal binding (7)	GO:0000287; GO:0003677; GO:0003899; GO:0006351; GO:0008270	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]						WP_011133112.1;
Q7TU64	TRPC_PROMP	reviewed	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC PMM1297	pmm:PMM1297;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	295	PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 4/5. {ECO:0000255|HAMAP-Rule:MF_00134}.	PMM1297	trpC		2 out of 5		Chain (1)	GO:0000162; GO:0004425	tryptophan biosynthetic process [GO:0000162]		indole-3-glycerol-phosphate synthase activity [GO:0004425]						WP_011132931.1;
Q7V303	NDHK_PROMP	reviewed	NAD(P)H-quinone oxidoreductase subunit K (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit K) (NDH-1 subunit K) (NDH-K)	ndhK PMM0293	pmm:PMM0293;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	244		PMM0293	ndhK		3 out of 5		Chain (1); Compositional bias (1); Metal binding (4); Region (1)	GO:0005506; GO:0008137; GO:0019684; GO:0031676; GO:0048038; GO:0051539	photosynthesis, light reaction [GO:0019684]	plasma membrane-derived thylakoid membrane [GO:0031676]	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]						WP_011131930.1;
Q7V3C1	NU1C_PROMP	reviewed	NAD(P)H-quinone oxidoreductase subunit 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit 1) (NDH-1 subunit 1) (NDH-A)	ndhA PMM0160	pmm:PMM0160;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	372		PMM0160	ndhA		3 out of 5		Chain (1); Transmembrane (8)	GO:0016021; GO:0016655; GO:0019684; GO:0031676; GO:0048038	photosynthesis, light reaction [GO:0019684]	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]						
Q7V2R0	YIDD_PROMP	reviewed	Putative membrane protein insertion efficiency factor	PMM0411	pmm:PMM0411;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	78		PMM0411			1 out of 5		Chain (1)	GO:0005886		plasma membrane [GO:0005886]							WP_011132047.1;
Q7UZX6	PSAL_PROMP	reviewed	Photosystem I reaction center subunit XI (PSI subunit V) (PSI-L)	psaL PMM1519	pmm:PMM1519;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	199		PMM1519	psaL		2 out of 5		Chain (1); Transmembrane (2)	GO:0009538; GO:0015979; GO:0016021; GO:0031676	photosynthesis [GO:0015979]	integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]; plasma membrane-derived thylakoid membrane [GO:0031676]							WP_011133147.1;
Q9RC08	PSAA_PROMP	reviewed	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA PMM1524	pmm:PMM1524;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	767		PMM1524	psaA		4 out of 5		Binding site (2); Chain (1); Compositional bias (1); Metal binding (4); Region (1); Transmembrane (11)	GO:0000287; GO:0009055; GO:0009522; GO:0015979; GO:0016021; GO:0016168; GO:0018298; GO:0031676; GO:0051539	photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]	4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]						WP_011133152.1;
Q7V1B3	URED_PROMP	reviewed	Urease accessory protein UreD	ureD PMM0966	pmm:PMM0966;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	297		PMM0966	ureD		2 out of 5		Chain (1)	GO:0005737; GO:0006807; GO:0016151	nitrogen compound metabolic process [GO:0006807]	cytoplasm [GO:0005737]	nickel cation binding [GO:0016151]						WP_011132599.1;
Q7TU27	RS19_PROMP	reviewed	30S ribosomal protein S19	rpsS rps19 PMM1554	pmm:PMM1554;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	91		PMM1554	rpsS	rps19	2 out of 5		Chain (1)	GO:0003735; GO:0006412; GO:0015935; GO:0019843	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						WP_011133182.1;
Q7V1H0	RL28_PROMP	reviewed	50S ribosomal protein L28	rpmB rpl28 PMM0902	pmm:PMM0902;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	78		PMM0902	rpmB	rpl28	2 out of 5		Chain (1)	GO:0003735; GO:0005840; GO:0006412	translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]						WP_011132535.1;
Q7UZV2	RS3_PROMP	reviewed	30S ribosomal protein S3	rpsC rps3 PMM1552	pmm:PMM1552;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	243		PMM1552	rpsC	rps3	2 out of 5		Chain (1); Compositional bias (1); Domain (1); Region (1)	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843	translation [GO:0006412]	ribosome [GO:0005840]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						WP_011133180.1;
Q7V006	RPOB_PROMP	reviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB PMM1485	pmm:PMM1485;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	1097		PMM1485	rpoB		3 out of 5		Chain (1); Compositional bias (1); Region (1)	GO:0003677; GO:0003899; GO:0006351; GO:0032549	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]						WP_011133113.1;
Q7UZI3	SYV_PROMP	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS PMM1682	pmm:PMM1682;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	918		PMM1682	valS		3 out of 5		Binding site (1); Chain (1); Coiled coil (1); Motif (2)	GO:0002161; GO:0004832; GO:0005524; GO:0005737; GO:0006438	valyl-tRNA aminoacylation [GO:0006438]	cytoplasm [GO:0005737]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832]						WP_011133309.1;
Q7V179	PURT_PROMP	reviewed	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT PMM1004	pmm:PMM1004;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	390	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide from N(1)-(5-phospho-D-ribosyl)glycinamide (formate route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_01643}.	PMM1004	purT		4 out of 5		Binding site (6); Chain (1); Domain (1); Metal binding (2); Nucleotide binding (2); Region (2)	GO:0000287; GO:0004644; GO:0005524; GO:0006189; GO:0043815	'de novo' IMP biosynthetic process [GO:0006189]		ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylglycinamide formyltransferase 2 activity [GO:0043815]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]						WP_011132636.1;
Q7V331	SFSA_PROMP	reviewed	Sugar fermentation stimulation protein homolog	sfsA PMM0262	pmm:PMM0262;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	248		PMM0262	sfsA		1 out of 5		Chain (1)	GO:0003677			DNA binding [GO:0003677]						WP_011131899.1;
Q7V1N4	TPIS_PROMP	reviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tpi PMM0829	pmm:PMM0829;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	241	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000255|HAMAP-Rule:MF_00147}.; PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate from glycerone phosphate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00147}.	PMM0829	tpiA	tpi	3 out of 5		Active site (2); Binding site (2); Chain (1); Erroneous initiation (1); Region (2)	GO:0004807; GO:0005737; GO:0006094; GO:0006096	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	cytoplasm [GO:0005737]	triose-phosphate isomerase activity [GO:0004807]						WP_011132463.1;
Q7UZI0	SPEE_PROMP	reviewed	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE PMM1685	pmm:PMM1685;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	283	PATHWAY: Amine and polyamine biosynthesis; spermidine biosynthesis; spermidine from putrescine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00198}.	PMM1685	speE		3 out of 5		Active site (1); Binding site (4); Chain (1); Domain (1); Region (2)	GO:0004766; GO:0005737; GO:0008295	spermidine biosynthetic process [GO:0008295]	cytoplasm [GO:0005737]	spermidine synthase activity [GO:0004766]						WP_011133312.1;
Q7V350	TRMB_PROMP	reviewed	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB PMM0240	pmm:PMM0240;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	209	PATHWAY: tRNA modification; N(7)-methylguanine-tRNA biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01057}.	PMM0240	trmB		2 out of 5		Active site (1); Binding site (6); Chain (1)	GO:0008176			tRNA (guanine-N7-)-methyltransferase activity [GO:0008176]						WP_011131878.1;
Q7V3P5	EFP_PROMP	reviewed	Elongation factor P (EF-P)	efp PMM0026	pmm:PMM0026;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	186	PATHWAY: Protein biosynthesis; polypeptide chain elongation. {ECO:0000255|HAMAP-Rule:MF_00141}.	PMM0026	efp		2 out of 5		Chain (1)	GO:0003746; GO:0005737		cytoplasm [GO:0005737]	translation elongation factor activity [GO:0003746]						WP_011131664.1;
Q7V111	KPRS_PROMP	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs PMM1080	pmm:PMM1080;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	331	PATHWAY: Metabolic intermediate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis; 5-phospho-alpha-D-ribose 1-diphosphate from D-ribose 5-phosphate (route I): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00583}.	PMM1080	prs		4 out of 5		Active site (1); Binding site (2); Chain (1); Metal binding (2); Nucleotide binding (1); Region (1)	GO:0000287; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0009116; GO:0009156; GO:0009165; GO:0016301	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]						WP_011132713.1;
Q7V054	RPOZ_PROMP	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ PMM1431	pmm:PMM1431;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	78		PMM1431	rpoZ		2 out of 5		Chain (1)	GO:0003677; GO:0003899; GO:0006351	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]						WP_011133060.1;
Q7UZG1	RS6_PROMP	reviewed	30S ribosomal protein S6	rpsF rps6 PMM1706	pmm:PMM1706;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	154		PMM1706	rpsF	rps6	2 out of 5		Chain (1); Compositional bias (2); Region (1)	GO:0003735; GO:0005840; GO:0006412; GO:0019843	translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						WP_011133333.1;
Q7V388	MURG_PROMP	reviewed	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG PMM0197	pmm:PMM0197;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	364	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00033}.	PMM0197	murG		3 out of 5		Binding site (4); Chain (1); Region (1)	GO:0005886; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555	carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	plasma membrane [GO:0005886]	UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]						WP_011131836.1;
Q7UZR7	PUR5_PROMP	reviewed	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM PMM1589	pmm:PMM1589;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	347	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 2/2. {ECO:0000255|HAMAP-Rule:MF_00741}.	PMM1589	purM		2 out of 5		Chain (1)	GO:0004641; GO:0005524; GO:0005737; GO:0006189	'de novo' IMP biosynthetic process [GO:0006189]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]						WP_011133217.1;
Q7V339	PSBI_PROMP	reviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI PMM0253	pmm:PMM0253;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	42		PMM0253	psbI		2 out of 5		Chain (1); Transmembrane (1)	GO:0009539; GO:0015979; GO:0016021; GO:0031676	photosynthesis [GO:0015979]	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]							WP_002805124.1;
Q7V342	PTH_PROMP	reviewed	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth PMM0250	pmm:PMM0250;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	203		PMM0250	pth		2 out of 5		Chain (1)	GO:0004045; GO:0005737; GO:0006412	translation [GO:0006412]	cytoplasm [GO:0005737]	aminoacyl-tRNA hydrolase activity [GO:0004045]						WP_011131888.1;
Q7V0T8	SYGA_PROMP	reviewed	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ PMM1165	pmm:PMM1165;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	289		PMM1165	glyQ		2 out of 5		Chain (1)	GO:0004820; GO:0005524; GO:0005737; GO:0006426	glycyl-tRNA aminoacylation [GO:0006426]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]						WP_011132799.1;
Q7V365	PSBA_PROMP	reviewed	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA PMM0223	pmm:PMM0223;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	360		PMM0223	psbA		4 out of 5		Binding site (2); Chain (1); Metal binding (14); Propeptide (1); Region (1); Site (3); Transmembrane (5)	GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0016682; GO:0018298; GO:0031676; GO:0045156	photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]; response to herbicide [GO:0009635]	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]						WP_011131862.1;
Q7UZW0	RS5_PROMP	reviewed	30S ribosomal protein S5	rpsE rps5 PMM1542	pmm:PMM1542;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	206		PMM1542	rpsE	rps5	3 out of 5		Chain (1); Compositional bias (2); Domain (1); Region (1)	GO:0003735; GO:0006412; GO:0015935; GO:0019843	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						WP_011133170.1;
Q7TUH0	TRPB_PROMP	reviewed	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB PMM0164	pmm:PMM0164;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	414	PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 5/5. {ECO:0000255|HAMAP-Rule:MF_00133}.	PMM0164	trpB		2 out of 5		Chain (1); Compositional bias (1); Modified residue (1); Region (1)	GO:0004834			tryptophan synthase activity [GO:0004834]						WP_011131803.1;
Q7V2Z9	PSBF_PROMP	reviewed	Cytochrome b559 subunit beta (PSII reaction center subunit VI)	psbF PMM0298	pmm:PMM0298;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	47		PMM0298	psbF		3 out of 5		Chain (1); Metal binding (1); Transmembrane (1)	GO:0005506; GO:0009055; GO:0009539; GO:0009767; GO:0016021; GO:0020037; GO:0031676	photosynthetic electron transport chain [GO:0009767]	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]						WP_011131935.1;
Q7V2Z8	PSBL_PROMP	reviewed	Photosystem II reaction center protein L (PSII-L)	psbL PMM0299	pmm:PMM0299;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	39		PMM0299	psbL		2 out of 5		Chain (1); Transmembrane (1)	GO:0009539; GO:0015979; GO:0016021; GO:0031676	photosynthesis [GO:0015979]	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]							WP_011131936.1;
Q7TU75	TRMFO_PROMP	reviewed	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)	trmFO PMM1116	pmm:PMM1116;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	470		PMM1116	trmFO		3 out of 5		Chain (1); Nucleotide binding (1)	GO:0005737; GO:0030698; GO:0047151; GO:0050660		cytoplasm [GO:0005737]	5,10-methylenetetrahydrofolate-dependent tRNA (m5U54) methyltransferase activity [GO:0030698]; flavin adenine dinucleotide binding [GO:0050660]; methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity [GO:0047151]						WP_011132749.1;
Q7V3F1	Y124_PROMP	reviewed	UPF0367 protein PMM0124	PMM0124	pmm:PMM0124;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	89		PMM0124			1 out of 5		Chain (1)										WP_011131763.1;
Q7TUF5	PSBM_PROMP	reviewed	Photosystem II reaction center protein M (PSII-M)	psbM PMM0317	pmm:PMM0317;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	50		PMM0317	psbM		2 out of 5		Chain (1); Transmembrane (1)	GO:0009523; GO:0016021; GO:0019684; GO:0031676	photosynthesis, light reaction [GO:0019684]	integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]							WP_011131954.1;
