"locus_tag","type","gene","gene_biotype","old_locus_tag","product","protein_id"
"ACZ81_RS04070","gene",NA,"protein_coding","ACZ81_04075","hypothetical protein","WP_014978448.1"
"ACZ81_RS04075","gene",NA,"protein_coding","ACZ81_04080","hypothetical protein","WP_061484801.1"
"ACZ81_RS04080","gene",NA,"protein_coding","ACZ81_04085","hemolysin III family protein","WP_014948411.1"
"ACZ81_RS04090","gene",NA,"protein_coding","ACZ81_04095","MarR family transcriptional regulator","WP_061484803.1"
"ACZ81_RS04095","gene",NA,"protein_coding","ACZ81_04100","organic hydroperoxide resistance protein","WP_014948414.1"
"ACZ81_RS04100","gene",NA,"protein_coding","ACZ81_04105","M1 family metallopeptidase","WP_039224613.1"
"ACZ81_RS04105","gene",NA,"protein_coding","ACZ81_04110","redoxin domain-containing protein","WP_014975770.1"
"ACZ81_RS04110","gene",NA,"protein_coding","ACZ81_04115","IS110 family transposase","WP_061484806.1"
"ACZ81_RS04115","gene",NA,"protein_coding","ACZ81_04120","YigZ family protein","WP_061484808.1"
"ACZ81_RS04120","gene",NA,"protein_coding","ACZ81_04125","DUF3718 domain-containing protein","WP_061484811.1"
"ACZ81_RS21445","pseudogene",NA,"pseudogene",NA,"methyl-accepting chemotaxis protein",NA
"ACZ81_RS21450","pseudogene",NA,"pseudogene",NA,"hypothetical protein",NA
"ACZ81_RS21455","gene",NA,"protein_coding",NA,"hypothetical protein","WP_232375990.1"
"ACZ81_RS04130","gene",NA,"protein_coding","ACZ81_04135","DUF3754 domain-containing protein","WP_061484813.1"
"ACZ81_RS04135","gene","sbcD","protein_coding","ACZ81_04140","exonuclease subunit SbcD","WP_061484814.1"
"ACZ81_RS04140","gene",NA,"protein_coding","ACZ81_04145","AAA family ATPase","WP_061484816.1"
"ACZ81_RS04145","gene",NA,"protein_coding","ACZ81_04150","S41 family peptidase","WP_061484818.1"
"ACZ81_RS04150","gene","sstT","protein_coding","ACZ81_04155","serine/threonine transporter SstT","WP_061486933.1"
"ACZ81_RS04155","gene","hutG","protein_coding","ACZ81_04160","formimidoylglutamase","WP_061484820.1"
"ACZ81_RS04160","gene","hutI","protein_coding","ACZ81_04165","imidazolonepropionase","WP_061486934.1"
"ACZ81_RS04165","gene",NA,"protein_coding","ACZ81_04170","UTRA domain-containing protein","WP_061486935.1"
"ACZ81_RS04170","gene",NA,"protein_coding","ACZ81_04175","urocanate hydratase","WP_061484821.1"
"ACZ81_RS04175","gene","hutH","protein_coding","ACZ81_04180","histidine ammonia-lyase","WP_061484824.1"
"ACZ81_RS04180","gene",NA,"protein_coding","ACZ81_04185","CreA family protein","WP_168462799.1"
"ACZ81_RS04185","gene",NA,"protein_coding","ACZ81_04190","MipA/OmpV family protein","WP_061484829.1"
"ACZ81_RS04190","gene",NA,"protein_coding","ACZ81_04195","ATPase","WP_061484831.1"
"ACZ81_RS04195","gene","nagA","protein_coding","ACZ81_04200","N-acetylglucosamine-6-phosphate deacetylase","WP_061484833.1"
"ACZ81_RS04200","gene",NA,"protein_coding","ACZ81_04205","hypothetical protein","WP_061484835.1"
"ACZ81_RS04205","gene",NA,"protein_coding","ACZ81_04210","ABC-F family ATPase","WP_039230708.1"
"ACZ81_RS04210","gene",NA,"protein_coding","ACZ81_04215","PA2779 family protein","WP_014951406.1"
"ACZ81_RS04215","gene",NA,"protein_coding","ACZ81_04220","PA2778 family cysteine peptidase","WP_061484837.1"
"ACZ81_RS04220","gene",NA,"protein_coding","ACZ81_04225","mechanosensitive ion channel family protein","WP_061484839.1"
"ACZ81_RS04225","gene",NA,"protein_coding","ACZ81_04230","porin family protein","WP_061484841.1"
"ACZ81_RS20765","gene",NA,"protein_coding",NA,"DMT family transporter","WP_081106129.1"
"ACZ81_RS04235","gene",NA,"protein_coding","ACZ81_04240","TonB-dependent receptor","WP_232376017.1"
"ACZ81_RS21460","pseudogene",NA,"pseudogene",NA,"DUF6444 domain-containing protein",NA
"ACZ81_RS04240","gene",NA,"protein_coding","ACZ81_04245","HlyD family efflux transporter periplasmic adaptor subunit","WP_053103809.1"
"ACZ81_RS04245","gene","rbbA","protein_coding","ACZ81_04250","ribosome-associated ATPase/putative transporter RbbA","WP_061484848.1"
"ACZ81_RS04250","gene",NA,"protein_coding","ACZ81_04255","ABC transporter permease","WP_049585936.1"
"ACZ81_RS21465","pseudogene",NA,"pseudogene",NA,"transposase",NA
"ACZ81_RS04255","gene",NA,"protein_coding","ACZ81_04260","MFS transporter","WP_231514252.1"
"ACZ81_RS21205","gene",NA,"protein_coding",NA,"hypothetical protein","WP_156086002.1"
"ACZ81_RS04260","gene",NA,"protein_coding","ACZ81_04265","type II toxin-antitoxin system ParD family antitoxin","WP_061484850.1"
"ACZ81_RS04265","gene",NA,"protein_coding","ACZ81_04270","type II toxin-antitoxin system RelE/ParE family toxin","WP_061484854.1"
"ACZ81_RS04270","gene",NA,"protein_coding","ACZ81_04275","site-specific integrase","WP_145912126.1"
"ACZ81_RS04275","gene",NA,"protein_coding","ACZ81_04280","BlaI/MecI/CopY family transcriptional regulator","WP_061484861.1"
"ACZ81_RS04280","gene",NA,"protein_coding","ACZ81_04285","M56 family metallopeptidase","WP_061484862.1"
"ACZ81_RS04285","gene",NA,"protein_coding","ACZ81_04290","TolC family protein","WP_061484865.1"
"ACZ81_RS04290","gene",NA,"protein_coding","ACZ81_04295","efflux RND transporter periplasmic adaptor subunit","WP_061484866.1"
"ACZ81_RS04295","gene",NA,"protein_coding","ACZ81_04300","CusA/CzcA family heavy metal efflux RND transporter","WP_061484870.1"
"ACZ81_RS04300","gene",NA,"protein_coding","ACZ81_04305","HupE/UreJ family protein","WP_061484872.1"
"ACZ81_RS04305","gene",NA,"protein_coding","ACZ81_04310","hypothetical protein","WP_061484873.1"
"ACZ81_RS04310","gene",NA,"protein_coding","ACZ81_04315","DUF6488 family protein","WP_061484876.1"
"ACZ81_RS04315","gene",NA,"protein_coding","ACZ81_04320","efflux RND transporter periplasmic adaptor subunit","WP_061484877.1"
"ACZ81_RS04320","gene",NA,"protein_coding","ACZ81_04325","efflux RND transporter permease subunit","WP_061484879.1"
"ACZ81_RS04325","gene","dsbG","protein_coding","ACZ81_04330","thiol:disulfide interchange protein DsbG","WP_061486936.1"
"ACZ81_RS04330","gene",NA,"protein_coding","ACZ81_04335","TlpA family protein disulfide reductase","WP_232375991.1"
"ACZ81_RS04335","gene",NA,"protein_coding","ACZ81_04340","response regulator transcription factor","WP_061484887.1"
"ACZ81_RS04340","gene",NA,"protein_coding","ACZ81_04345","sensor histidine kinase N-terminal domain-containing protein","WP_061484888.1"
"ACZ81_RS04345","gene",NA,"protein_coding","ACZ81_04350","YeeE/YedE family protein","WP_061484889.1"
"ACZ81_RS04350","gene",NA,"protein_coding","ACZ81_04355","hypothetical protein","WP_061484891.1"
"ACZ81_RS04355","gene",NA,"protein_coding","ACZ81_04360","MBL fold metallo-hydrolase","WP_061484893.1"
"ACZ81_RS04360","gene",NA,"protein_coding","ACZ81_04365","sulfite exporter TauE/SafE family protein","WP_145912128.1"
"ACZ81_RS04365","gene",NA,"protein_coding","ACZ81_04370","MBL fold metallo-hydrolase","WP_061484895.1"
"ACZ81_RS04370","gene",NA,"protein_coding","ACZ81_04375","TIGR01244 family phosphatase","WP_061484898.1"
"ACZ81_RS04375","gene",NA,"protein_coding","ACZ81_04380","helix-turn-helix transcriptional regulator","WP_061486938.1"
"ACZ81_RS21470","gene",NA,"protein_coding","ACZ81_04385","hypothetical protein","WP_061484902.1"
"ACZ81_RS04385","gene",NA,"protein_coding",NA,"HDIG domain-containing protein","WP_061484904.1"
"ACZ81_RS04390","gene",NA,"protein_coding","ACZ81_04395","hypothetical protein","WP_061484906.1"
"ACZ81_RS04395","gene",NA,"protein_coding",NA,"DUF4041 domain-containing protein","WP_158511550.1"
"ACZ81_RS04400","gene",NA,"protein_coding","ACZ81_04405","DUF4041 domain-containing protein","WP_061484910.1"
"ACZ81_RS04405","gene",NA,"protein_coding","ACZ81_04410","AAA family ATPase","WP_061484912.1"
"ACZ81_RS04410","gene",NA,"protein_coding","ACZ81_04415","restriction endonuclease","WP_061484914.1"
"ACZ81_RS04415","gene","istA","protein_coding","ACZ81_04420","IS21 family transposase","WP_039221975.1"
"ACZ81_RS04420","gene","istB","protein_coding","ACZ81_04425","IS21-like element helper ATPase IstB","WP_039221977.1"
"ACZ81_RS04425","gene",NA,"tRNA","ACZ81_04430","tRNA-Ile",NA
"ACZ81_RS04430","gene",NA,"protein_coding","ACZ81_04435","choice-of-anchor B family protein","WP_061484916.1"
"ACZ81_RS04435","gene",NA,"protein_coding","ACZ81_04440","metallo-mystery pair system four-Cys motif protein","WP_014948461.1"
"ACZ81_RS04440","gene",NA,"protein_coding","ACZ81_04445","di-heme enzyme","WP_061484918.1"
"ACZ81_RS04445","gene",NA,"protein_coding","ACZ81_04450","hypothetical protein","WP_014948463.1"
"ACZ81_RS04450","gene",NA,"protein_coding","ACZ81_04455","hypothetical protein","WP_014975806.1"
"ACZ81_RS04455","gene",NA,"protein_coding","ACZ81_04460","DUF3718 domain-containing protein","WP_014948465.1"
"ACZ81_RS04460","gene",NA,"protein_coding","ACZ81_04465","response regulator transcription factor","WP_061484920.1"
"ACZ81_RS04465","gene",NA,"protein_coding","ACZ81_04470","CidA/LrgA family protein","WP_061484923.1"
"ACZ81_RS04470","gene",NA,"protein_coding","ACZ81_04475","LrgB family protein","WP_014978487.1"
"ACZ81_RS04475","gene",NA,"protein_coding","ACZ81_04480","response regulator","WP_014975809.1"
"ACZ81_RS04480","gene",NA,"protein_coding","ACZ81_04485","PAS domain-containing protein","WP_061484925.1"
"ACZ81_RS04485","gene",NA,"protein_coding","ACZ81_04490","DUF1566 domain-containing protein","WP_061484927.1"
"ACZ81_RS04490","gene",NA,"protein_coding","ACZ81_04495","DUF1566 domain-containing protein","WP_081106066.1"
"ACZ81_RS04495","gene",NA,"protein_coding","ACZ81_04500","YggN family protein","WP_014975812.1"
"ACZ81_RS04500","gene","ltrA","protein_coding","ACZ81_04505","group II intron reverse transcriptase/maturase","WP_061439274.1"
"ACZ81_RS04505","gene","hemW","protein_coding","ACZ81_04510","radical SAM family heme chaperone HemW","WP_061484929.1"
"ACZ81_RS04510","gene",NA,"protein_coding","ACZ81_04515","XTP/dITP diphosphatase","WP_014948475.1"
"ACZ81_RS04515","gene","srmB","protein_coding","ACZ81_04520","ATP-dependent RNA helicase SrmB","WP_014948476.1"
"ACZ81_RS04520","gene",NA,"protein_coding","ACZ81_04525","hypothetical protein","WP_232375992.1"
"ACZ81_RS04525","gene",NA,"protein_coding","ACZ81_04530","WD40 repeat domain-containing protein","WP_061484932.1"
"ACZ81_RS04530","gene",NA,"protein_coding","ACZ81_04535","CCA-adding protein","WP_061484933.1"
"ACZ81_RS04535","gene",NA,"protein_coding","ACZ81_04540","AAA family ATPase","WP_014948480.1"
"ACZ81_RS04540","gene",NA,"protein_coding","ACZ81_04545","general secretion pathway protein GspB","WP_061484936.1"
"ACZ81_RS04545","gene",NA,"protein_coding","ACZ81_04550","HD-GYP domain-containing protein","WP_061484937.1"
"ACZ81_RS04550","gene","leuD","protein_coding","ACZ81_04555","3-isopropylmalate dehydratase small subunit","WP_014948483.1"
"ACZ81_RS04555","gene","leuC","protein_coding","ACZ81_04560","3-isopropylmalate dehydratase large subunit","WP_061094370.1"
"ACZ81_RS04560","gene","leuB","protein_coding","ACZ81_04565","3-isopropylmalate dehydrogenase","WP_061484939.1"
"ACZ81_RS04565","gene","leuA","protein_coding","ACZ81_04570","2-isopropylmalate synthase","WP_061484942.1"
"ACZ81_RS04570","gene",NA,"protein_coding","ACZ81_04575","hypothetical protein","WP_061484944.1"
"ACZ81_RS04575","gene","eno","protein_coding","ACZ81_04580","phosphopyruvate hydratase","WP_014975823.1"
"ACZ81_RS04580","gene",NA,"protein_coding","ACZ81_04585","CTP synthase","WP_014978516.1"
"ACZ81_RS04585","gene","mutS","protein_coding","ACZ81_04590","DNA mismatch repair protein MutS","WP_061484946.1"
"ACZ81_RS04590","gene",NA,"protein_coding","ACZ81_04595","CinA family protein","WP_061484949.1"
"ACZ81_RS04595","gene","recA","protein_coding","ACZ81_04600","recombinase RecA","WP_014948506.1"
"ACZ81_RS04600","gene",NA,"protein_coding","ACZ81_04605","ATP-binding cassette domain-containing protein","WP_061484952.1"
"ACZ81_RS04605","gene",NA,"protein_coding","ACZ81_04610","ABC transporter permease","WP_014948508.1"
"ACZ81_RS04610","gene",NA,"protein_coding","ACZ81_04615","EscU/YscU/HrcU family type III secretion system export apparatus switch protein","WP_014948509.1"
"ACZ81_RS04615","gene",NA,"protein_coding","ACZ81_04620","flagellar hook-length control protein FliK","WP_203229266.1"
"ACZ81_RS04620","gene","ccmA","protein_coding","ACZ81_04625","cytochrome c biogenesis heme-transporting ATPase CcmA","WP_061484953.1"
"ACZ81_RS04625","gene","ccmB","protein_coding","ACZ81_04630","heme exporter protein CcmB","WP_014948512.1"
"ACZ81_RS04630","gene",NA,"protein_coding","ACZ81_04635","heme ABC transporter permease","WP_014948513.1"
"ACZ81_RS04635","gene","ccmD","protein_coding","ACZ81_04640","heme exporter protein CcmD","WP_061484955.1"
"ACZ81_RS04640","gene","ccmE","protein_coding","ACZ81_04645","cytochrome c maturation protein CcmE","WP_015066378.1"
"ACZ81_RS04645","gene",NA,"protein_coding","ACZ81_04650","heme lyase CcmF/NrfE family subunit","WP_061484957.1"
"ACZ81_RS04650","gene",NA,"protein_coding","ACZ81_04655","redoxin family protein","WP_049585963.1"
"ACZ81_RS04655","gene",NA,"protein_coding","ACZ81_04660","cytochrome c-type biogenesis protein CcmH","WP_049585964.1"
"ACZ81_RS04660","gene","ccmI","protein_coding","ACZ81_04665","c-type cytochrome biogenesis protein CcmI","WP_049585965.1"
"ACZ81_RS04665","gene",NA,"protein_coding","ACZ81_04670","VacJ family lipoprotein","WP_061094383.1"
"ACZ81_RS04670","gene","galE","protein_coding","ACZ81_04675","UDP-glucose 4-epimerase GalE","WP_014997536.1"
"ACZ81_RS04675","gene",NA,"protein_coding","ACZ81_04680","DUF6170 family protein","WP_061484959.1"
"ACZ81_RS04680","gene",NA,"protein_coding","ACZ81_04685","peptide MFS transporter","WP_061484961.1"
"ACZ81_RS04685","gene",NA,"protein_coding","ACZ81_04690","hypothetical protein","WP_061484963.1"
"ACZ81_RS04690","gene",NA,"protein_coding","ACZ81_04695","ABC transporter ATP-binding protein","WP_061484965.1"
"ACZ81_RS04695","gene",NA,"protein_coding","ACZ81_04700","ABC transporter permease","WP_061484967.1"
"ACZ81_RS04700","gene",NA,"protein_coding","ACZ81_04705","polysaccharide export protein","WP_014948527.1"
"ACZ81_RS04705","gene",NA,"protein_coding","ACZ81_04710","hypothetical protein","WP_014948528.1"
"ACZ81_RS04710","gene","wecA","protein_coding","ACZ81_04715","UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase","WP_061484968.1"
"ACZ81_RS04715","gene",NA,"protein_coding","ACZ81_04720","IS4 family transposase","WP_061439181.1"
"ACZ81_RS04720","gene",NA,"protein_coding","ACZ81_04725","glycosyltransferase","WP_061486941.1"
"ACZ81_RS04725","gene",NA,"protein_coding","ACZ81_04730","glycosyltransferase family 2 protein","WP_061484971.1"
"ACZ81_RS04730","gene","galU","protein_coding","ACZ81_04735","UTP--glucose-1-phosphate uridylyltransferase GalU","WP_014975843.1"
"ACZ81_RS04735","gene",NA,"protein_coding","ACZ81_04740","helix-hairpin-helix domain-containing protein","WP_061484972.1"
"ACZ81_RS04740","gene",NA,"protein_coding","ACZ81_04745","isocitrate dehydrogenase","WP_014948534.1"
"ACZ81_RS04745","gene",NA,"protein_coding","ACZ81_04750","hypothetical protein","WP_061484974.1"
"ACZ81_RS04750","gene",NA,"protein_coding","ACZ81_04755","DUF3192 domain-containing protein","WP_014978539.1"
"ACZ81_RS04755","gene","ppnN","protein_coding","ACZ81_04760","nucleotide 5'-monophosphate nucleosidase PpnN","WP_061484976.1"
"ACZ81_RS04760","gene",NA,"protein_coding","ACZ81_04765","diguanylate cyclase","WP_061484978.1"
"ACZ81_RS04765","gene","queF","protein_coding","ACZ81_04770","NADPH-dependent 7-cyano-7-deazaguanine reductase QueF","WP_061484980.1"
"ACZ81_RS04770","gene","syd","protein_coding","ACZ81_04775","SecY-interacting protein","WP_061484982.1"
"ACZ81_RS04775","gene",NA,"protein_coding","ACZ81_04780","hypothetical protein","WP_232375993.1"
"ACZ81_RS04780","gene",NA,"protein_coding","ACZ81_04785","DUF3192 domain-containing protein","WP_061094405.1"
"ACZ81_RS04785","gene",NA,"protein_coding","ACZ81_04790","GNAT family N-acetyltransferase","WP_061484984.1"
"ACZ81_RS04790","gene",NA,"protein_coding","ACZ81_04795","DUF3301 domain-containing protein","WP_049585979.1"
"ACZ81_RS04795","gene",NA,"protein_coding","ACZ81_04800","DUF3549 family protein","WP_061484986.1"
"ACZ81_RS04800","gene",NA,"protein_coding","ACZ81_04805","YqcC family protein","WP_231506420.1"
"ACZ81_RS04805","gene","truC","protein_coding","ACZ81_04810","tRNA pseudouridine(65) synthase TruC","WP_231506421.1"
"ACZ81_RS04810","gene",NA,"protein_coding","ACZ81_04815","flavodoxin","WP_061484989.1"
"ACZ81_RS04815","gene","dapD","protein_coding","ACZ81_04820","2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase","WP_014948549.1"
"ACZ81_RS04820","gene","glnD","protein_coding","ACZ81_04825","[protein-PII] uridylyltransferase","WP_049585981.1"
"ACZ81_RS04825","gene","map","protein_coding","ACZ81_04830","type I methionyl aminopeptidase","WP_014948551.1"
"ACZ81_RS04830","gene","rpsB","protein_coding","ACZ81_04835","30S ribosomal protein S2","WP_014948552.1"
"ACZ81_RS04835","gene","tsf","protein_coding","ACZ81_04840","translation elongation factor Ts","WP_014978551.1"
"ACZ81_RS04840","gene","pyrH","protein_coding","ACZ81_04845","UMP kinase","WP_014948554.1"
"ACZ81_RS04845","gene","frr","protein_coding","ACZ81_04850","ribosome recycling factor","WP_014948555.1"
"ACZ81_RS04850","gene","uppS","protein_coding","ACZ81_04855","polyprenyl diphosphate synthase","WP_014978552.1"
"ACZ81_RS04855","gene",NA,"protein_coding","ACZ81_04860","phosphatidate cytidylyltransferase","WP_014948557.1"
"ACZ81_RS04860","gene","ispC","protein_coding","ACZ81_04865","1-deoxy-D-xylulose-5-phosphate reductoisomerase","WP_014978553.1"
"ACZ81_RS04865","gene","rseP","protein_coding","ACZ81_04870","sigma E protease regulator RseP","WP_061484991.1"
"ACZ81_RS04870","gene","bamA","protein_coding","ACZ81_04875","outer membrane protein assembly factor BamA","WP_014975852.1"
"ACZ81_RS04875","gene",NA,"protein_coding","ACZ81_04880","OmpH family outer membrane protein","WP_014948561.1"
"ACZ81_RS04880","gene","fabZ","protein_coding","ACZ81_04885","3-hydroxyacyl-ACP dehydratase FabZ","WP_014948562.1"
"ACZ81_RS04885","gene","lpxA","protein_coding","ACZ81_04890","acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase","WP_014948563.1"
"ACZ81_RS04890","gene","lpxB","protein_coding","ACZ81_04895","lipid-A-disaccharide synthase","WP_014978555.1"
"ACZ81_RS04895","gene","rnhB","protein_coding","ACZ81_04900","ribonuclease HII","WP_014948565.1"
"ACZ81_RS04900","gene","dnaE","protein_coding","ACZ81_04905","DNA polymerase III subunit alpha","WP_081106067.1"
"ACZ81_RS04905","gene","accA","protein_coding","ACZ81_04910","acetyl-CoA carboxylase carboxyl transferase subunit alpha","WP_014948567.1"
"ACZ81_RS04910","gene","tilS","protein_coding","ACZ81_04915","tRNA lysidine(34) synthetase TilS","WP_061484993.1"
"ACZ81_RS04915","gene",NA,"protein_coding","ACZ81_04920","GGDEF domain-containing protein","WP_014975856.1"
"ACZ81_RS04920","gene",NA,"protein_coding","ACZ81_04925","cation:proton antiporter","WP_081106130.1"
"ACZ81_RS04925","gene",NA,"protein_coding","ACZ81_04930","hypothetical protein","WP_014975858.1"
"ACZ81_RS04930","gene","tadA","protein_coding","ACZ81_04935","tRNA adenosine(34) deaminase TadA","WP_014975859.1"
"ACZ81_RS21290","gene",NA,"protein_coding",NA,"hypothetical protein","WP_014975860.1"
"ACZ81_RS04935","gene","mltF","protein_coding","ACZ81_04940","membrane-bound lytic murein transglycosylase MltF","WP_014948574.1"
"ACZ81_RS04940","gene","purL","protein_coding","ACZ81_04945","phosphoribosylformylglycinamidine synthase","WP_014978557.1"
"ACZ81_RS21295","gene",NA,"protein_coding",NA,"hypothetical protein","WP_197044394.1"
"ACZ81_RS04950","gene","smrA","protein_coding","ACZ81_04955","DNA endonuclease SmrA","WP_014978558.1"
"ACZ81_RS04955","gene",NA,"tRNA","ACZ81_04960","tRNA-Arg",NA
"ACZ81_RS04960","gene",NA,"protein_coding","ACZ81_04965","flagellar assembly protein T N-terminal domain-containing protein","WP_014978559.1"
"ACZ81_RS04965","gene",NA,"protein_coding","ACZ81_04970","LPP20 family lipoprotein","WP_014978560.1"
"ACZ81_RS04970","gene",NA,"protein_coding","ACZ81_04975","flagellar protein FlgN","WP_014978561.1"
"ACZ81_RS04975","gene","flgM","protein_coding","ACZ81_04980","flagellar biosynthesis anti-sigma factor FlgM","WP_014948589.1"
"ACZ81_RS04980","gene","flgA","protein_coding","ACZ81_04985","flagellar basal body P-ring formation protein FlgA","WP_230598826.1"
"ACZ81_RS04985","gene",NA,"protein_coding","ACZ81_04990","chemotaxis protein CheV","WP_014948591.1"
"ACZ81_RS04990","gene",NA,"protein_coding","ACZ81_04995","protein-glutamate O-methyltransferase CheR","WP_061484996.1"
"ACZ81_RS04995","gene","flgB","protein_coding","ACZ81_05000","flagellar basal body rod protein FlgB","WP_014948594.1"
"ACZ81_RS05000","gene","flgC","protein_coding","ACZ81_05005","flagellar basal body rod protein FlgC","WP_012517627.1"
"ACZ81_RS05005","gene","flgD","protein_coding","ACZ81_05010","flagellar hook assembly protein FlgD","WP_012517628.1"
"ACZ81_RS05010","gene","flgE","protein_coding","ACZ81_05015","flagellar hook protein FlgE","WP_014948596.1"
"ACZ81_RS05015","gene",NA,"protein_coding","ACZ81_05020","flagellar basal body rod protein FlgF","WP_012517630.1"
"ACZ81_RS05020","gene","flgG","protein_coding","ACZ81_05025","flagellar basal-body rod protein FlgG","WP_014948598.1"
"ACZ81_RS05025","gene","flgH","protein_coding","ACZ81_05030","flagellar basal body L-ring protein FlgH","WP_014948599.1"
"ACZ81_RS05030","gene",NA,"protein_coding","ACZ81_05035","flagellar basal body P-ring protein FlgI","WP_061484998.1"
"ACZ81_RS05035","gene","flgJ","protein_coding","ACZ81_05040","flagellar assembly peptidoglycan hydrolase FlgJ","WP_061485000.1"
"ACZ81_RS05040","gene","flgK","protein_coding","ACZ81_05045","flagellar hook-associated protein FlgK","WP_052247342.1"
"ACZ81_RS05045","gene","flgL","protein_coding","ACZ81_05050","flagellar hook-associated protein FlgL","WP_061485002.1"
"ACZ81_RS05050","gene",NA,"protein_coding","ACZ81_05055","hypothetical protein","WP_061485005.1"
"ACZ81_RS05055","gene",NA,"protein_coding","ACZ81_05060","flagellin","WP_014975882.1"
"ACZ81_RS05060","gene",NA,"protein_coding","ACZ81_05065","flagellin","WP_014975883.1"
"ACZ81_RS05065","gene",NA,"protein_coding","ACZ81_05070","flagellin","WP_061485007.1"
"ACZ81_RS05070","gene",NA,"protein_coding","ACZ81_05075","flagellar protein FlaG","WP_061485009.1"
"ACZ81_RS05075","gene","fliD","protein_coding","ACZ81_05080","flagellar filament capping protein FliD","WP_061485011.1"
"ACZ81_RS05080","gene","fliS","protein_coding","ACZ81_05085","flagellar export chaperone FliS","WP_014975887.1"
"ACZ81_RS05085","gene",NA,"protein_coding","ACZ81_05090","hypothetical protein","WP_061485013.1"
"ACZ81_RS05090","gene",NA,"protein_coding","ACZ81_05095","DUF115 domain-containing protein","WP_061485015.1"
"ACZ81_RS05095","gene","pseF","protein_coding","ACZ81_05100","pseudaminic acid cytidylyltransferase","WP_061485017.1"
"ACZ81_RS05100","gene","pseG","protein_coding","ACZ81_05105","UDP-2%2C4-diacetamido-2%2C4%2C6-trideoxy-beta-L-altropyranose hydrolase","WP_145912129.1"
"ACZ81_RS05105","gene",NA,"protein_coding","ACZ81_05110","acetyltransferase","WP_039224837.1"
"ACZ81_RS05110","gene",NA,"protein_coding","ACZ81_05115","hypothetical protein","WP_014975893.1"
"ACZ81_RS05115","gene",NA,"protein_coding","ACZ81_05120","ketoacyl-ACP synthase III","WP_014975894.1"
"ACZ81_RS05120","gene",NA,"protein_coding","ACZ81_05125","acyl carrier protein","WP_014975895.1"
"ACZ81_RS05125","gene","pseI","protein_coding","ACZ81_05130","pseudaminic acid synthase","WP_014975896.1"
"ACZ81_RS05130","gene","pseC","protein_coding","ACZ81_05135","UDP-4-amino-4%2C6-dideoxy-N-acetyl-beta-L-altrosamine transaminase","WP_039224844.1"
"ACZ81_RS05135","gene","pseB","protein_coding","ACZ81_05140","UDP-N-acetylglucosamine 4%2C6-dehydratase (inverting)","WP_061485020.1"
"ACZ81_RS05140","gene",NA,"protein_coding","ACZ81_05145","flagellin","WP_061485022.1"
"ACZ81_RS05145","gene",NA,"protein_coding","ACZ81_05150","sigma-54 dependent transcriptional regulator","WP_061485025.1"
"ACZ81_RS05150","gene",NA,"protein_coding","ACZ81_05155","ATP-binding protein","WP_061485026.1"
"ACZ81_RS05155","gene",NA,"protein_coding","ACZ81_05160","sigma-54 dependent transcriptional regulator","WP_039224852.1"
"ACZ81_RS05160","gene","fliE","protein_coding","ACZ81_05165","flagellar hook-basal body complex protein FliE","WP_014948630.1"
"ACZ81_RS05165","gene","fliF","protein_coding","ACZ81_05170","flagellar M-ring protein FliF","WP_061485028.1"
"ACZ81_RS05170","gene","fliG","protein_coding","ACZ81_05175","flagellar motor switch protein FliG","WP_014975903.1"
"ACZ81_RS05175","gene","fliH","protein_coding","ACZ81_05180","flagellar assembly protein FliH","WP_061485030.1"
"ACZ81_RS05180","gene","fliI","protein_coding","ACZ81_05185","flagellar protein export ATPase FliI","WP_014948634.1"
"ACZ81_RS05185","gene","fliJ","protein_coding","ACZ81_05190","flagellar export protein FliJ","WP_061485032.1"
"ACZ81_RS05190","gene",NA,"protein_coding","ACZ81_05195","flagellar hook-length control protein FliK","WP_061485034.1"
"ACZ81_RS05195","gene","fliL","protein_coding","ACZ81_05200","flagellar basal body-associated protein FliL","WP_014948637.1"
"ACZ81_RS05200","gene","fliM","protein_coding","ACZ81_05205","flagellar motor switch protein FliM","WP_014948638.1"
"ACZ81_RS05205","gene","fliN","protein_coding","ACZ81_05210","flagellar motor switch protein FliN","WP_014948639.1"
"ACZ81_RS05210","gene","fliO","protein_coding","ACZ81_05215","flagellar biosynthetic protein FliO","WP_014948640.1"
"ACZ81_RS05215","gene","fliP","protein_coding","ACZ81_05220","flagellar type III secretion system pore protein FliP","WP_061485036.1"
"ACZ81_RS05220","gene","fliQ","protein_coding","ACZ81_05225","flagellar biosynthesis protein FliQ","WP_012517675.1"
"ACZ81_RS05225","gene","fliR","protein_coding","ACZ81_05230","flagellar type III secretion system protein FliR","WP_014978604.1"
"ACZ81_RS05230","gene","flhB","protein_coding","ACZ81_05235","flagellar biosynthesis protein FlhB","WP_039234246.1"
"ACZ81_RS05235","gene",NA,"protein_coding","ACZ81_05240","D-Ala-D-Ala carboxypeptidase family metallohydrolase","WP_061485038.1"
"ACZ81_RS05240","gene",NA,"protein_coding","ACZ81_05245","L%2CD-transpeptidase family protein","WP_014975911.1"
"ACZ81_RS05245","gene","flhA","protein_coding","ACZ81_05250","flagellar biosynthesis protein FlhA","WP_039224872.1"
